precio,producto_id,sucursal_id
249.0,0000000221184,9-1-690
259.0,0000000221184,9-2-583
68.9,0000000231688,9-1-690
69.9,0000000231688,9-2-583
375.9,0000000288989,9-1-690
394.9,0000000288989,9-2-583
227.9,0000000289153,9-1-690
239.9,0000000289153,9-2-583
465.9,0000000289177,9-1-690
489.9,0000000289177,9-2-583
233.9,0000000896887,9-1-690
245.9,0000000896887,9-2-583
37.9,0000002130828,10-2-119
39.8,0000002130835,10-2-119
125.0,0000041024355,9-2-583
168.1,0000042096276,1-1-7
160.9,0000042126560,1-1-7
163.0,0000042126560,11-5-1002
214.71,0000042126560,7-1-32
86.0,0000042149996,10-1-54
87.0,0000042149996,16-1-2802
99.0,0000042149996,9-2-583
160.9,0000042231301,1-1-7
162.99,0000042231301,16-1-2802
215.5,0000042231486,1-1-7
216.0,0000042231486,10-1-54
244.0,0000042231486,10-2-119
231.3,0000042231486,11-2-1056
236.0,0000042231486,11-5-1002
184.9,0000042231509,1-1-7
439.0,0000042277132,10-2-119
188.0,0000042277705,2-1-264
160.9,0000042277842,1-1-7
159.8,0000042277842,11-2-1056
174.0,0000042277842,2-1-264
133.0,0000042300076,10-1-54
132.1,0000042300076,11-5-1002
119.9,0000042300076,14-1-8
183.9,0000042300083,1-1-7
184.0,0000042300083,10-1-54
207.0,0000042300083,10-2-119
202.1,0000042300083,11-2-1056
206.2,0000042300083,11-5-1002
139.9,0000042300083,14-1-8
132.0,0000042345466,10-1-54
77.0,0000075001629,1-1-7
77.0,0000075001629,9-2-583
145.4,0000075024956,1-1-7
180.0,0000075024956,10-3-644
151.19,0000075024956,7-1-32
145.4,0000075026455,1-1-7
146.0,0000075026455,10-1-54
186.0,0000075026455,10-3-644
166.4,0000075026455,11-2-1056
169.8,0000075026455,11-5-1002
173.0,0000075027513,1-1-7
229.0,0000075027513,10-2-119
185.4,0000075027513,11-2-1056
189.2,0000075027513,11-5-1002
209.0,0000075027513,2-1-264
156.9,0000075027513,8-1-8
229.0,0000075027513,9-1-690
249.0,0000075027513,9-2-583
173.0,0000075027537,1-1-7
203.0,0000075031060,10-1-54
199.0,0000075031060,11-2-1056
159.9,0000075031060,14-1-8
86.0,0000075032715,9-2-583
133.4,0000075043308,1-1-7
134.0,0000075043308,10-1-54
94.04,0000075043308,10-2-119
157.99,0000075043308,16-1-2802
110.0,0000075047849,1-1-7
134.9,0000075047849,8-1-8
128.5,0000075047856,1-1-7
133.4,0000075048099,1-1-7
43.2,0000075050849,1-1-7
133.4,0000075051747,1-1-7
89.0,0000075063108,1-1-7
103.4,0000075063115,1-1-7
190.99,0000075067069,16-1-2802
118.0,0000075068066,10-1-54
157.0,0000075068066,10-2-119
171.0,0000075068493,10-1-54
103.0,0000075068677,16-1-2802
146.0,0000075069209,10-1-54
150.99,0000075069209,16-1-2802
146.0,0000075069216,10-1-54
59.9,0000077900050,1-1-7
104.0,0000077900050,16-2-5904
115.9,0000077900067,1-1-7
116.0,0000077900067,10-1-54
124.0,0000077900067,10-2-119
123.8,0000077900067,11-5-1002
120.0,0000077900067,16-1-2802
120.0,0000077900067,16-2-5904
169.0,0000077900098,9-2-583
299.9,0000077900104,1-1-7
157.5,0000077900296,1-1-7
159.0,0000077900296,10-2-119
162.9,0000077900296,11-2-1056
166.2,0000077900296,11-5-1002
209.59,0000077900296,7-1-32
169.0,0000077900296,9-2-583
49.2,0000077900302,1-1-7
57.0,0000077900302,17-1-70
157.5,0000077900319,1-1-7
162.9,0000077900319,11-2-1056
