id,marca,nombre,presentacion,categoria_1,categoria_2,categoria_3,categoria_origen
0000000001663,LA ANÓNIMA,Radicheta Atada La Anonima 1 Un,1.0 un,,,,sin clasificar
0000000002288,LA ANÓNIMA,Perejil Atado La Anonima 1 Un,1.0 un,,,,sin clasificar
0000000205870,SIN MARCA,Ojo de Bife 1 Kg,1.0 kg,Frescos,Carnicería,,inferida
0000000205894,SIN MARCA,Milanesa de Peceto Novillito 1 Kg,1.0 kg,Frescos,Carnicería,,inferida
0000000205955,SIN MARCA,Chiquizuela Novillito 1 Kg,1.0 kg,Frescos,Carnicería,,inferida
0000000205979,SIN MARCA,Espinazo de Novillito 1 Kg,1.0 kg,Frescos,Carnicería,,inferida
0000000206020,SIN MARCA,Carnanza Comun de Novillo 1 Kg,1.0 kg,Frescos,Carnicería,,inferida
0000000206044,SIN MARCA,Falda Deshuesada Novillito Bandeja 1 Kg,1.0 kg,Frescos,Carnicería,,inferida
0000000206051,SIN MARCA,Carne Picada Comun 1 Kg,1.0 kg,Frescos,Carnicería,,inferida
0000000206105,SIN MARCA,Entraña de Novillito 1 Kg,1.0 kg,Frescos,Carnicería,,inferida
0000000206136,SIN MARCA,Bife Ancho de Novillito 1 Kg,1.0 kg,Frescos,Carnicería,,inferida
0000000206143,SIN MARCA,Rost Beef en Trozo de Novillito 1 Kg,1.0 kg,Frescos,Carnicería,,inferida
0000000206181,SIN MARCA,Palomita de Novillito 1 Kg,1.0 kg,Frescos,Carnicería,,inferida
0000000206198,SIN MARCA,Tortuguita Novillito 1 Kg,1.0 kg,Frescos,Carnicería,,inferida
0000000206235,SIN MARCA,Paleta en Trozo Novillito 1 Kg,1.0 kg,Frescos,Carnicería,,inferida
0000000206280,SIN MARCA,Milanesa Cuadrada de Novillito 1 Kg,1.0 kg,Frescos,Carnicería,,inferida
0000000206297,SIN MARCA,Milanesa de Nalga Novillito 1 Kg,1.0 kg,Frescos,Carnicería,,inferida
0000000206303,SIN MARCA,Milanesa Bola de Lomo 1 Kg,1.0 kg,Frescos,Carnicería,,inferida
0000000206310,SIN MARCA,Bife Angosto de Novillito 1 Kg,1.0 kg,Frescos,Carnicería,,inferida
0000000206334,SIN MARCA,Colita de Cuadril de Novillito 1 Kg,1.0 kg,Frescos,Carnicería,,inferida
0000000206358,SIN MARCA,Cuadril de Novillito 1 Kg,1.0 kg,Frescos,Carnicería,,inferida
