id,comercioid,banderaid,banderadescripcion,comerciorazonsocial,provincia,localidad,direccion,lat,lng,sucursalnombre,sucursaltipo
1-1-7,1,1,Super MAMI,Dinosaurio S.A.,AR-X,SALSIPUEDES,E53 1011 None,-31.126667,-64.29525,Super Mami 4,Hipermercado
10-1-24,10,1,Hipermercado Carrefour,INC S.A.,AR-X,Jardin Espinoza,Av. O'Higgins 3765,-31.455534000000004,-64.166095,Córdoba Jardín,Hipermercado
10-1-50,10,1,Hipermercado Carrefour,INC S.A.,AR-X,Quintas de Arguello,Recta Martinolli 7850,-31.346646000000003,-64.269297,Córdoba Recta Martinolli,Hipermercado
10-1-54,10,1,Hipermercado Carrefour,INC S.A.,AR-X,Villa Allende Lomas,Av. Río De Janeiro 1787,-31.300019,-64.276462,Córdoba Villa Allende,Hipermercado
10-1-9,10,1,Hipermercado Carrefour,INC S.A.,AR-X,Villa Urquiza,Av. Colón 4880,-31.393915000000003,-64.242835,Córdoba Colon,Hipermercado
10-2-119,10,2,Market,INC S.A.,AR-X,Río Cuarto,Sobremonte 902,-33.125271000000005,-64.349014,Río Cuarto,Supermercado
10-2-295,10,2,Market,INC S.A.,AR-X,Alto Verde,Bvard. Granaderos 2906,-31.374529,-64.21385500000001,Córdoba Granaderos,Supermercado
10-3-606,10,3,Express,INC S.A.,AR-X,Córdoba,Ovispo Trejo 1166,-31.42895900000001,-64.19116,Ovispo Trejo 1166,Autoservicio
10-3-607,10,3,Express,INC S.A.,AR-X,Córdoba,Chacabuco 727,-31.426127,-64.183581,Chacabuco 727,Autoservicio
10-3-610,10,3,Express,INC S.A.,AR-X,Córdoba,Av. Pueyrredón 298,-31.425978000000004,-64.192761,Pueyrredón 298,Autoservicio
10-3-641,10,3,Express,INC S.A.,AR-X,Córdoba,Alvear 126,-31.415382,-64.180514,Alvear 126,Autoservicio
10-3-642,10,3,Express,INC S.A.,AR-X,Córdoba,Gral. Paz 240,-31.412485,-64.185278,General Paz 240,Autoservicio
10-3-644,10,3,Express,INC S.A.,AR-X,Córdoba,25 De Mayo 979,-31.415769,-64.169505,25 de Mayo 979,Autoservicio
10-3-648,10,3,Express,INC S.A.,AR-X,Córdoba,Belgrano 54,-31.415363,-64.18853,Belgrano 54,Autoservicio
10-3-650,10,3,Express,INC S.A.,AR-X,Córdoba,San Martín 26,-31.42053,-64.499099,San Martín 26,Autoservicio
11-2-1056,11,2,Changomas,Wal Mart Argentina S.R.L.,AR-X,VILLA NUEVA,Av Carranza E/ Lima Y Costanera 980,-32.423605,-63.24397800000001,Villa Nueva,Hipermercado
11-2-1060,11,2,Changomas,Wal Mart Argentina S.R.L.,AR-X,BARRIO MATIENZO *,Av Fuerza Aerea Argentina 4372,-31.432014,-64.24399100000001,CDBA-Fuerza Aerea,Supermercado
11-2-1097,11,2,Changomas,Wal Mart Argentina S.R.L.,AR-X,BARRIO AERONAUTICO *,Avenida Donato Alvarez 8600,-31.32402,-64.269118,Cordoba Donato Alvarez,Hipermercado
11-5-1002,11,5,Walmart SuperCenter,Wal Mart Argentina S.R.L.,AR-X,RIO CUARTO,Juan B Justo 2052,-33.131159999999994,-64.3824,Rio IV,Hipermercado
11-5-1010,11,5,Walmart SuperCenter,Wal Mart Argentina S.R.L.,AR-X,CIUDAD DE CORDOBA NORTE,Av Circunvalacion Este 2557,-31.466986,-64.162452,Córdoba Sur,Hipermercado
11-5-3605,11,5,Walmart SuperCenter,Wal Mart Argentina S.R.L.,AR-X,CIUDAD DE CORDOBA NORTE,Av Colon 6051,-31.395535,-64.259731,Córdoba OE,Hipermercado
11-5-3606,11,5,Walmart SuperCenter,Wal Mart Argentina S.R.L.,AR-X,CIUDAD DE CORDOBA NORTE,Mauricio Yadarola 1699,-31.391634000000003,-64.15848299999999,Córdoba Este,Hipermercado
14-1-1,14,1,Supermercados Becerra,Miguel Becerra S.A.,AR-X,Alta Gracia,Av.Belgrano 466,-31.658308,-64.42845,Casa Central,Hipermercado
14-1-10,14,1,Supermercados Becerra,Miguel Becerra S.A.,AR-X,Villa Carlos Paz,Cassaffoutsh 59,-31.415957,-64.502649,Sucursal 10 (cpaz),Supermercado
14-1-11,14,1,Supermercados Becerra,Miguel Becerra S.A.,AR-X,Villa General Belgrano,Ojo De Agua 356,-31.979941,-64.553286,Sucursal 11 (vgb),Supermercado
14-1-2,14,1,Supermercados Becerra,Miguel Becerra S.A.,AR-X,Alta Gracia,Av. Libertador 790,-31.65864,-64.42357,Sucursal 02,Supermercado
14-1-3,14,1,Supermercados Becerra,Miguel Becerra S.A.,AR-X,Alta Gracia,Agustin Aguirre 402,-31.654963,-64.430021,Sucursal 03,Supermercado
14-1-4,14,1,Supermercados Becerra,Miguel Becerra S.A.,AR-X,Alta Gracia,Lucas V. Cordoba 965,-31.64848,-64.433943,Sucursal 04,Supermercado
14-1-5,14,1,Supermercados Becerra,Miguel Becerra S.A.,AR-X,Alta Gracia,Av. Libertador 1740,-31.658608,-64.413147,Sucursal 05,Supermercado
14-1-6,14,1,Supermercados Becerra,Miguel Becerra S.A.,AR-X,Alta Gracia,Consejal Alonso 770,-31.664987,-64.427644,Sucursal 06,Autoservicio
14-1-7,14,1,Supermercados Becerra,Miguel Becerra S.A.,AR-X,Alta Gracia,Av. Sarmiento 618,-31.654088,-64.44225899999999,Sucursal 07,Supermercado
14-1-8,14,1,Supermercados Becerra,Miguel Becerra S.A.,AR-X,Santa Rosa De Calamuchita,Espa±A 95,-32.065183000000005,-64.539902,Sucursal 08 (sros),Supermercado
14-1-9,14,1,Supermercados Becerra,Miguel Becerra S.A.,AR-X,Villa Carlos Paz,Av. Carcano 589,-31.431672,-64.498234,Sucursal 09 (cpaz),Supermercado
15-1-1048,15,1,Supermercados DIA,DIA Argentina S.A,AR-X,Bell Ville,Cl Cordoba 602,-32.629875,-62.694435,1048 - Bell Ville,Supermercado
15-1-1049,15,1,Supermercados DIA,DIA Argentina S.A,AR-X,Marcos Juarez,Cl Belgrano 951,-32.6955357,-62.104534,1049 - Marcos Juarez,Supermercado
15-1-1057,15,1,Supermercados DIA,DIA Argentina S.A,AR-X,Rio Tercero,Cl Uruguay 254,-32.175576,-64.10754200000001,1057 - Rio Tercero,Supermercado
