precio,producto_id,sucursal_id
29.9,0000000002288,2-1-184
39.9,0000000002288,2-1-206
499.99,0000000205870,9-1-430
539.99,0000000205870,9-2-107
539.99,0000000205870,9-3-5218
589.99,0000000205894,9-1-430
189.99,0000000205955,9-1-430
104.99,0000000205979,9-1-430
229.0,0000000206020,9-1-430
279.99,0000000206044,9-1-430
229.99,0000000206051,9-1-430
459.99,0000000206105,9-1-430
389.99,0000000206136,9-1-430
299.99,0000000206143,9-1-430
339.99,0000000206181,9-1-430
339.99,0000000206198,9-1-430
369.99,0000000206235,9-1-430
399.99,0000000206280,9-1-430
414.99,0000000206297,9-1-430
399.99,0000000206303,9-1-430
399.99,0000000206310,9-1-430
559.99,0000000206334,9-1-430
419.99,0000000206358,9-1-430
349.0,0000000206358,9-1-688
559.99,0000000206693,9-1-430
259.99,0000000206907,9-1-430
289.99,0000000216616,9-1-430
249.0,0000000221184,9-1-232
259.0,0000000221184,9-2-583
439.0,0000000221184,9-2-953
729.0,0000000230407,9-1-645
729.0,0000000230407,9-3-5227
68.9,0000000231688,9-1-232
69.9,0000000231688,9-2-583
110.0,0000000231688,9-2-953
859.0,0000000274357,9-1-645
519.0,0000000280204,9-1-645
545.0,0000000280204,9-3-5227
369.0,0000000280259,9-1-645
329.0,0000000280259,9-3-5227
449.0,0000000286848,9-1-645
471.0,0000000286848,9-3-5227
375.9,0000000288989,9-1-232
394.9,0000000288989,9-2-583
227.9,0000000289153,9-1-232
239.9,0000000289153,9-2-583
465.9,0000000289177,9-1-232
489.9,0000000289177,9-2-583
79.0,0000000630344,10-2-286
165.0,0000000630344,10-3-429
233.9,0000000896887,9-1-232
245.9,0000000896887,9-2-583
185.99,0000001034448,15-1-1035
229.0,0000001307504,9-1-645
229.0,0000001307504,9-2-161
229.0,0000001307504,9-3-5202
235.0,0000001307504,9-3-5206
229.0,0000001312409,9-1-645
229.0,0000001312409,9-2-161
229.0,0000001312409,9-3-5202
235.0,0000001312409,9-3-5206
385.99,0000002077055,16-1-2702
679.99,0000002079714,16-1-2702
679.99,0000002079714,16-2-6004
37.9,0000002130828,10-1-29
37.9,0000002130828,10-2-119
39.8,0000002130835,10-1-235
39.8,0000002130835,10-2-119
399.0,0000002352312,16-1-1302
115.0,0000004016007,9-3-5202
115.0,0000004016205,9-3-5218
129.0,0000007933622,9-2-39
129.0,0000007933622,9-3-5202
129.0,0000007935725,9-2-39
